回答番号,受付番号,回答日時,あなたの性別は？,あなたが住んでる地区は？,あなたが住んでる地区の良いところや好きなところ、自慢したいところは？,鯖江市に変わってほしいところや不便なところは？,あなたが社会人になっても鯖江市（市外の方は今住んでるまち）に住み続けたい？ [※１～２を選択した人の次の設問はQ７です],Q5で３～５を選択した人にお聞きします。具体的にどこに移りたいですか？ [都道府県、市町、地区名など],Ｑ５であなたが選んだ理由は？ [できるだけ具体的にお願いいたします。],あなたが欲しい情報を探したり集めたりするときに使うものは？ [（○は３つまで）],あなたは鯖江市がどんなまちになったらいいと思いますか？ [（○は３つまで）],鯖江市の将来像について、夢や希望、アイデアなど、想いを自由に書いてください。,その他、市に対して言いたいことを、自由に書いてください。
56,PB00005643,2023-07-14T09:16:03,男性,市外,のどかでのびのびと過ごせること,娯楽施設をもう少し増やしてほしい,２．一度、市を出て、また帰ってきたい,,福井県にないものが別の県にあったりするから,スマートフォン（スマホ）;テレビ,スポーツに親しむ環境が整備されたまち;デジタル技術を活用したサービスが充実したまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
55,PB00005590,2023-07-14T09:15:54,女性,市外,,,５．県外に移りたい,愛知県,一番長く住んでいたので友だちが多いから,スマートフォン（スマホ）;パソコン,だれもが自由に移動できる交通利便性の高いまち,,
54,PB00005442,2023-07-14T09:15:44,男性,市外,近くにスタバがある,遊ぶ場所がない,５．県外に移りたい,京都府,自立したいから,スマートフォン（スマホ）,歴史・伝統・芸術・文化を大切にするまち;子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち,,
53,PB00005357,2023-07-14T09:15:42,男性,市外,自然豊か,なし,５．県外に移りたい,名古屋,好きなYOUTUBERがいる,スマートフォン（スマホ）,歴史・伝統・芸術・文化を大切にするまち,仲の良い　事故０,
52,PB00005219,2023-07-14T09:15:41,男性,市外,自然豊か,遊ぶところが少ない,５．県外に移りたい,京都,遊ぶところがあるから,スマートフォン（スマホ）,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;デジタル技術を活用したサービスが充実したまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,都会にする,田舎
51,PB00005185,2023-07-14T09:15:40,女性,立待,地域行事があり、周りがとても静か。自然が豊か。,友だちと遊べる場所が少ない。夜が暗くて電気が少ない。,１．いま住んでる地区にずっと住み続けたい,,今住んでいる場所が住みやすく、居心地が良い。,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;個性を尊重し多様なライフスタイルが実現できるまち,遊べる場所を作って欲しいです。,
50,PB00005019,2023-07-14T09:15:11,女性,鯖江（惜陰・進徳小学校区）,挨拶がしやすい,遊び場がすくない,２．一度、市を出て、また帰ってきたい,,安全で暮らしやすい,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;だれもが自由に移動できる交通利便性の高いまち,人間学が外に出られる機会を増やせるように沢山のイベントを作る,
49,PB00004966,2023-07-14T09:14:49,女性,吉川,自然が豊かで広々としている所が良い。,日野川の堤防に草が生い茂っているので、それをなんとかしてほしい。,１．いま住んでる地区にずっと住み続けたい,,今住んでいるところが好きだから。,スマートフォン（スマホ）;テレビ,まちなみや景観が美しいまち;安心して結婚・出産・子育てができるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,自然豊かでみんなが安心して暮らせる場所になっていてほしい。,遊びに行く場所が少ないのでもっと増やしてほしい。例えばイオンやラウンドワンなど。
48,PB00004839,2023-07-14T09:14:46,男性,北中山,自然豊か,お店が少ない,１．いま住んでる地区にずっと住み続けたい,,県内で仕事をするから,スマートフォン（スマホ）,スポーツに親しむ環境が整備されたまち;デジタル技術を活用したサービスが充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,お店を増やす,お店が少ない
47,PB00004757,2023-07-14T09:14:29,男性,市外,だるまちゃん広場がある,鯖江駅らへんをもっと活性化してほしい,５．県外に移りたい,京都府　宇治市,京都に住みたいから,パソコン;スマートフォン（スマホ）,まちなみや景観が美しいまち;だれもが自由に移動できる交通利便性の高いまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,スタバとかおいたほうが楽しいと思う
46,PB00004698,2023-07-14T09:14:04,回答しない,神明（神明・鳥羽小学校区）,1公民館で夏休みに勉強ができる環境がある,友達と遊べる場所が少ない,１．いま住んでる地区にずっと住み続けたい,,今住んでいる場所が住みやすいから,スマートフォン（スマホ）;タブレット端末;テレビ,子どもから高齢者まで安心して教育を受けられるまち,イオンモールたてる,イオンモールたてる
45,PB00004503,2023-07-14T09:14:00,女性,市外,,,５．県外に移りたい,都会,ない,スマートフォン（スマホ）,若者や女性に選ばれる魅力のあるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;まちなみや景観が美しいまち,,
44,PB00004440,2023-07-14T09:14:00,男性,市外,,,５．県外に移りたい,大阪,都会がいい,スマートフォン（スマホ）,まちなみや景観が美しいまち;子どもから高齢者まで安心して教育を受けられるまち,,
43,PB00004304,2023-07-14T09:13:44,男性,河和田,鯖江市図書館での貸出がスムーズで沢山の本があるところ。,つつじバスの本数を増やしてほしい。,２．一度、市を出て、また帰ってきたい,,仕事で県外に行きたいと思っているから。,パソコン;スマートフォン（スマホ）,個性を尊重し多様なライフスタイルが実現できるまち;デジタル技術を活用したサービスが充実したまち,ジェンダー平等ができるまち,特にないです
42,PB00004214,2023-07-14T09:13:35,男性,市外,誰もいないところが多い,ゲームセンターやショッピングモールなど楽しいところが少ない,５．県外に移りたい,都会,何もないので、住んでても面白くない,パソコン;スマートフォン（スマホ）;テレビ,デジタル技術を活用したサービスが充実したまち;まちなみや景観が美しいまち,楽しい場所になれるといい,無駄なことにお金をかけていないで、イオンモールなどを作って欲しい
41,PB00004147,2023-07-14T09:13:30,女性,市外,福井市内だからベルやアルプラ、エルパ、駅前などが遠すぎない。,友達と遊べるところが少ない。,２．一度、市を出て、また帰ってきたい,,今住んでいるまちもいいけどもっと都会の方に住んでみたいから。,スマートフォン（スマホ）;テレビ,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;若者や女性に選ばれる魅力のあるまち,もう少し若者が来たくなるような店を建てて、もっと若者の人口を増やしたい。,ないです。
40,PB00004006,2023-07-14T09:13:26,男性,河和田,自然がある,なんもない,５．県外に移りたい,大阪,仕事をしに行くから,スマートフォン（スマホ）,だれもが自由に移動できる交通利便性の高いまち;安心して結婚・出産・子育てができるまち;高度な医療や福祉サービスが充実したまち,,"買い物できるとこが少ない
色々大変"
39,PB00003986,2023-07-14T09:13:22,女性,神明（神明・鳥羽小学校区）,近くにコンビニがある,"ファミレスやファストフード店を多くして、もっと近くに作って欲しい
イオンやコストコ、スタバを建ててほしい",５．県外に移りたい,東京都、国分寺市,自分の実家だから,スマートフォン（スマホ）;パソコン,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
38,PB00003897,2023-07-14T09:13:16,男性,市外,,道路をきれいにしてほしい,４．県内の他の市町に移りたい,福井市,今住んでいる場所が住みやすいから,スマートフォン（スマホ）,だれもが自由に移動できる交通利便性の高いまち,,
37,PB00003744,2023-07-14T09:13:04,回答しない,豊,近くの神社が渋い。,"店増やしてほしい。
パチ屋なくして",５．県外に移りたい,大阪、東京,普通に都会で美容師したい。,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち;身近に自然を感じることのできるまち;だれもが自由に移動できる交通利便性の高いまち,鯖江は末期,俺らが言っても変わらん。無駄。
36,PB00003657,2023-07-14T09:13:00,女性,市外,自然豊か,駅前に遊び場を増やしてほしい,５．県外に移りたい,金沢,発展している,タブレット端末;スマートフォン（スマホ）,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,
35,PB00003572,2023-07-14T09:12:52,回答しない,新横江（鯖江東小学校区）,特に無い,全部,５．県外に移りたい,決めてはいない,福井は住みにくいから,スマートフォン（スマホ）;タブレット端末,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;だれもが自由に移動できる交通利便性の高いまち,,
34,PB00003436,2023-07-14T09:12:36,男性,鯖江（惜陰・進徳小学校区）,海抜が高い,遊ぶところを増やしてほしい,５．県外に移りたい,京都府,コンビニも近いし老後も安心だから,スマートフォン（スマホ）,スポーツに親しむ環境が整備されたまち,特になし,特になし
33,PB00003390,2023-07-14T09:12:31,男性,市外,福井の中じゃ都会の方,ない,５．県外に移りたい,石川,ちょうどいい環境だと思うから,スマートフォン（スマホ）,スポーツに親しむ環境が整備されたまち,ないです,ないです
32,PB00003295,2023-07-14T09:12:11,女性,市外,？,遊ぶ場所がない,５．県外に移りたい,ここ以外の田舎じゃないとこ,ここなんもない,スマートフォン（スマホ）;パソコン,だれもが自由に移動できる交通利便性の高いまち;個性を尊重し多様なライフスタイルが実現できるまち,,
31,PB00003110,2023-07-14T09:11:22,男性,市外,空気がきれい,遊べる場所を増やしてほしい,５．県外に移りたい,京都,住みやすそうだから,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち,,
30,PB00003058,2023-07-14T09:11:21,男性,市外,ない,店が少ない,５．県外に移りたい,都会,なんとなく,パソコン;スマートフォン（スマホ）;テレビ,子どもから高齢者まで安心して教育を受けられるまち,ない,ない
29,PB00002915,2023-07-14T09:11:13,男性,鯖江（惜陰・進徳小学校区）,古い町並み,"周りに何もない
古すぎる",５．県外に移りたい,奈良生まれだから奈良に帰る,奈良のほうがきれいだし、イオンがあるし周りも田舎臭くないから,スマートフォン（スマホ）,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,なし,発展させてください
28,PB00002899,2023-07-14T09:10:57,男性,市外,店が多い,なし,５．県外に移りたい,東京、愛知,"都会に住んでみたいから
有名人に会いたいから",スマートフォン（スマホ）,産業が盛んで働く場所が充実したまち;だれもが自由に移動できる交通利便性の高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
27,PB00002707,2023-07-14T09:10:51,男性,片上,"自然が豊か
",特にない,２．一度、市を出て、また帰ってきたい,,他の県についても気になるから,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;安心して結婚・出産・子育てができるまち,もっと人口が増えてほしいと思った,特になし
26,PB00002623,2023-07-14T09:10:14,男性,市外,人がいない,遊ぶ場所がない,５．県外に移りたい,北海道,ご飯が美味しいから,スマートフォン（スマホ）,スポーツに親しむ環境が整備されたまち,,
25,PB00002531,2023-07-14T09:09:56,女性,市外,自然が豊かなところ,特にないです。,１．いま住んでる地区にずっと住み続けたい,,今住んでる場所が住みやすくて知っているところが多くて楽だからです。県外などに行ってしまうと、知らない場所がほとんどで人と接するときも気を使ってしまうからです。地元だと気を使わなくて楽だからです。,スマートフォン（スマホ）;テレビ,子どもから高齢者まで安心して教育を受けられるまち;歴史・伝統・芸術・文化を大切にするまち;高度な医療や福祉サービスが充実したまち,メガネの街鯖江というものがもっと世界に広まってくれるのを願う。,特にないです
24,PB00002422,2023-07-14T09:09:33,回答しない,鯖江（惜陰・進徳小学校区）,パチンコが多い,友達と遊べる場所が少ない,２．一度、市を出て、また帰ってきたい,,住みやすいから,スマートフォン（スマホ）;ラジオ,子どもから高齢者まで安心して教育を受けられるまち;歴史・伝統・芸術・文化を大切にするまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,
23,PB00002303,2023-07-14T09:08:48,男性,市外,環境が整っている,友だちと遊べる場所がない,１．いま住んでる地区にずっと住み続けたい,,今いる場所が住みやすいから,スマートフォン（スマホ）;テレビ;パソコン,子どもから高齢者まで安心して教育を受けられるまち;高度な医療や福祉サービスが充実したまち;だれもが自由に移動できる交通利便性の高いまち,メガネをもっと世界進出させてほしい,特になし
22,PB00002222,2023-07-14T09:08:24,女性,豊,山が多く自然豊か,買い物する場所や、遊ぶ場所が少ない,５．県外に移りたい,東京都,行きたいところが東京に多いから,スマートフォン（スマホ）;テレビ;パソコン,デジタル技術を活用したサービスが充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,鯖江を好きになってくれる子供が増えてほしい,バスの本数を増やしてほしい
21,PB00002124,2023-07-14T09:08:07,女性,市外,自然豊か,遊べるとこがない,５．県外に移りたい,県外,将来やりたいことのため,スマートフォン（スマホ）;パソコン,個性を尊重し多様なライフスタイルが実現できるまち,,
20,PB00002045,2023-07-14T09:08:03,男性,市外,落ち着いている。,,５．県外に移りたい,,独立したいから。,パソコン;スマートフォン（スマホ）;タブレット端末,スポーツに親しむ環境が整備されたまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;子どもから高齢者まで安心して教育を受けられるまち,,
19,PB00001950,2023-07-14T09:07:37,男性,市外,周りの人が優しい,遊ぶところが少ない,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,スマートフォン（スマホ）;パソコン;タブレット端末,子どもから高齢者まで安心して教育を受けられるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,遊園地を作って欲しい,にぎやかにしてほしい
18,PB00001802,2023-07-14T09:06:04,女性,神明（神明・鳥羽小学校区）,近くに買い物できるところがたくさんある,遊ぶ場所が少ない,２．一度、市を出て、また帰ってきたい,,他の地域にも興味があるから,スマートフォン（スマホ）;テレビ,だれもが自由に移動できる交通利便性の高いまち;スポーツに親しむ環境が整備されたまち;まちなみや景観が美しいまち,,
17,PB00001771,2023-07-14T09:05:47,男性,市外,小中学校やコンビニエンスストアなどが、近いところ,鯖江駅前が、福井駅前や武生駅前に比べてしょぼい。,２．一度、市を出て、また帰ってきたい,,一度でいいから、住んでいる街の外で過ごしたいから,スマートフォン（スマホ）,だれもが自由に移動できる交通利便性の高いまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,
16,PB00001655,2023-07-14T09:05:37,男性,豊,静かでとても住みやすい,遊べるところが少ない,５．県外に移りたい,京都府,県外のほうが住みやすそうだから,パソコン;スマートフォン（スマホ）;タブレット端末,歴史・伝統・芸術・文化を大切にするまち;安心して結婚・出産・子育てができるまち;だれもが自由に移動できる交通利便性の高いまち,みんなが安心して暮らせる街になって欲しい,
15,PB00001568,2023-07-14T09:05:37,女性,鯖江（惜陰・進徳小学校区）,きれいな図書館がある,あまりよるところがない,２．一度、市を出て、また帰ってきたい,,いい場所だから,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち,たくさんのお店ができていてほしい,あまりなし
14,PB00001499,2023-07-14T09:04:49,男性,市外,自然が多い,遊べる場所が少ない,５．県外に移りたい,愛知,県外で一人暮らしがしたいから,スマートフォン（スマホ）;タブレット端末;テレビ,スポーツに親しむ環境が整備されたまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;まちなみや景観が美しいまち,暮らしやすい街になるとよい,
13,PB00001355,2023-07-14T09:04:43,女性,鯖江（惜陰・進徳小学校区）,コンビニや、スーパーが近い,JRの駅が少し遠い,５．県外に移りたい,京都、大阪,都会だから,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち,少子高齢化が進まないどの世代も元気な街,ない
12,PB00001267,2023-07-14T09:04:34,女性,市外,,,２．一度、市を出て、また帰ってきたい,,"一回仕事がしやすい街に出て仕事が落ち着いたらまた福井に戻ってきたいなと思ったからです。
",スマートフォン（スマホ）;パソコン;テレビ,子どもから高齢者まで安心して教育を受けられるまち;安心して結婚・出産・子育てができるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
11,PB00001153,2023-07-14T09:04:25,男性,吉川,自然が豊かである,遊べる場所がない,５．県外に移りたい,東京都,将来やりたい仕事があるから,スマートフォン（スマホ）,まちなみや景観が美しいまち;だれもが自由に移動できる交通利便性の高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
10,PB00001006,2023-07-14T09:03:14,女性,市外,,,５．県外に移りたい,,県外に行きたい学校があるから,スマートフォン（スマホ）,歴史・伝統・芸術・文化を大切にするまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
9,PB00000999,2023-07-14T09:02:50,男性,鯖江（惜陰・進徳小学校区）,治安があまり悪くない,友達と遊ぶところが少ない　条例を少し軽めに　,２．一度、市を出て、また帰ってきたい,,過ごしやすいから,パソコン;スマートフォン（スマホ）;テレビ,その他,,もう少し条例を少し軽めにしてほしい
8,PB00000867,2023-07-14T08:58:41,男性,立待,堤防のところに芝生の遊べるところがある,友達と遊べるところが少ない,１．いま住んでる地区にずっと住み続けたい,,土地勘,パソコン;スマートフォン（スマホ）;テレビ,スポーツに親しむ環境が整備されたまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,
7,PB00000789,2023-07-13T10:30:55,女性,河和田,自然がきれい,"遊べるたのしい場所がない
バスの本数が少ない",２．一度、市を出て、また帰ってきたい,,今自分が住んでいるところの良さがわからないため、他のところにいってみて一度経験してみたいから。,スマートフォン（スマホ）;テレビ;その他,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;安心して結婚・出産・子育てができるまち;歴史・伝統・芸術・文化を大切にするまち,子供が安全に楽しく暮らせて、高齢者を支える人がたくさんいる街。,もう少しコスパが良くて学生が遊べるような場所がほしいです。
6,PB00000640,2023-07-13T09:14:14,女性,北中山,自然,"バスの本数
大きなショッピングモール",２．一度、市を出て、また帰ってきたい,,住みやすく、安心できるから,スマートフォン（スマホ）,安心して結婚・出産・子育てができるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;だれもが自由に移動できる交通利便性の高いまち,,
5,PB00000528,2023-07-13T08:54:40,女性,鯖江（惜陰・進徳小学校区）,ドラッグストアなど買い物出来る場所が沢山ある,遊べる場所が少ない,５．県外に移りたい,東京都,"都会の方が賑やかだと考えるから
ここじゃ出来ない仕事をしてみたいから",スマートフォン（スマホ）;パソコン;テレビ,まちなみや景観が美しいまち;産業が盛んで働く場所が充実したまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,賑やかになるといいと思います,"ゴミ出しがもっと簡単にできるようになって欲しい
新幹線が乗りずらいと思う"
4,PB00000449,2023-07-13T08:15:29,男性,河和田,自然,友達と遊べる場所が少ない,５．県外に移りたい,未定,新しい発見ができるから,スマートフォン（スマホ）,まちなみや景観が美しいまち;子どもから高齢者まで安心して教育を受けられるまち;安心して結婚・出産・子育てができるまち,,
3,PB00000339,2023-07-13T08:08:17,女性,豊,,"遊べる場所が少ない
街灯が少ない
",２．一度、市を出て、また帰ってきたい,,なんとなく,スマートフォン（スマホ）,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;若者や女性に選ばれる魅力のあるまち;安心して結婚・出産・子育てができるまち,,
2,PB00000241,2023-07-13T08:07:26,男性,鯖江（惜陰・進徳小学校区）,,,２．一度、市を出て、また帰ってきたい,,産まれたから,スマートフォン（スマホ）,スポーツに親しむ環境が整備されたまち,,
1,PB00000182,2023-06-29T09:03:25,男性,新横江（鯖江東小学校区）,テスト,テスト,３．市内の他の地区に移りたい,テスト,テスト,ＶＲゴーグル;ラジオ;その他,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;その他,テスト,テスト
