【問１】あなたのお住まいの地域を教えてください。,【問２】北陸新幹線 福井・敦賀開業で、お住まいの市町へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問３】北陸新幹線 福井・敦賀開業で、自身の生活へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問４】観光が福井県に与える影響は、「良い影響」の方が「悪い影響」より大きい。,上記回答の理由をお答えください（任意）,【問５】一人の県民として、福井県を訪れる観光客を歓迎したい。,上記回答の理由をお答えください（任意）,【問６】福井県はこれからも観光客の目的地・旅先であり続けるべきだ。,上記回答の理由をお答えください（任意）,【問７】福井県やお住まいの市町、および関連団体による観光振興の取り組みを住民として評価している。,上記回答の理由をお答えください（任意）,【問８】観光があることで、地域の文化や伝統の持続可能性が高まると思う。,上記回答の理由をお答えください（任意）,【問１２】観光客がお住まいの地域に来ることで、自分が住んでいる地域に愛着や誇りを感じる機会がありますか？,上記回答の理由をお答えください（任意）,【問１０】観光客が増加することにつ良いと思いますか？,上記回答の理由をお答えください（任意）,【問９】観光客が増加することで期待される効果について、当てはまると思う選択肢をすべてお答えください,【問１０】観光客が増加することで心配される影響について、当てはまると思う選択肢をすべてお答えください,【問１１】観光地として整備する必要があると思われるものについて、当てはまると思う選択肢をすべてお答えください,"【問１４】現在、あなたは福井県での暮らしにどの程度幸せを感じていますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,あなたのご年齢を教えてください。,あなたの性別をおしえてください。,上記でその他を回答した方はその理由をお答えください（任意）,【問８】観光客が増加することについてどのように思いますか？,上記でその他を回答した方はその理由をお答えください（任意）,"【問１５】今から5年後、あなたは福井県での暮らしにどの程度幸せを感じていると思いますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,【問１３】自分が住んでいる地域を、福井県外の人に自信を持ってお勧めできると感じますか？,,
福井市,あまりそうは思わない,福井市を目的にそれほど人が増えるとは思えないから。,そうは思わない,新幹線以外の電車で移動しようとすると、三セクの電車からJRに乗り換えたりして、料金や切符など面倒くさそう。それに青春18きっぷが福井駅から使えなくなることがとても残念。,あまりそうは思わない,東京から来る人は来やすくなると思うが、関西や東海方面から来る人は来にくくなる気がする。,とてもそう思う,経済効果も期待したいし、福井のよさをもっと知ってもらいたい。,そう思う,多くの人にたくさんの福井のいいところを知ってもらいたい。,どちらともいえない,,,,4,福井は好きだが、正直観光スポットも少ないし賑わいもあまりなくて自信はない。,,経済効果が期待されるため。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる","歴史文化資源の破壊, 治安の悪化","観光スポットを結ぶ交通機関, 観光イベント, 宿泊施設、土産物屋",8,福井に愛着があるため,40～49歳,女性,,好ましい,,8,今と変わらないと思うため。,3,,
福井市,そうは思わない,福井から大阪京都に行くのに荷物を持ち替えて乗り換えするのがほんとにイヤです。,全くそうは思わない,観光に力を入れてもうれしくありません。サービス業接待業より水ものより産業が欲しいです。,そうは思わない,"観光客より県内の人を。訪れる人より住む人が大事。土地が長く栄えるには産業。
観光は水ものです。道路を見てください。国道に落とされたゴミ分離帯の世話されてない草。観光地の駐車場の客引き。掃除がきらいなのか【古き良き】でなく埃",全くそうは思わない,観光地にはしなくない。地に足がついた負けない農業が継続し食糧備蓄ができる県に,全くそうは思わない,"歩いてたのしいですか？景観保持もないその時その時しのぎに作ったビル。空きばかり。
歩道は狭くてガタガタ。",どちらかと言えば評価していない,,,"デコンボさん恐竜増えましたね。
町そのもの守っている文化を感じられないハリボテみたいです。三角地帯、風水的にはどうですか？さえぎってる建て方に見えます",4,"薄っぺらい。
",,"外国人の労働者さんも国内の旅行者も増えてほしくない。
観光業、サービス業はイヤだし。",その他,"騒音やごみの増加, 歴史文化資源の破壊, 自然破壊, 治安の悪化","トイレ・休憩所等の整備及びユニバーサル化, 駐車場",7,交通不便。車道、歩道どちらも、狭い。ガタガタ。ポイ捨て多い,50～59歳,女性,,全く好ましくない,"福井市駅前の西武のダイニングスクエアで
〈食べたいものが無い〉と困る家族連れを何回かみました。
申し訳ない気持ちになってしまいました。",5,"年をとって車が運転できなくなったら不便です。
あと個人商店が減り商店街もなくなりました。",2,,
小浜市,ややそう思う,まだ新幹線の駅まで遠い,ややそう思う,富山、新潟へ行きやすくなる,そう思う,恐竜博物館に行きたいけど遠いと言っている関東在住の友人が複数いるから,とてもそう思う,地域活性化してほしい,そう思う,,どちらかといえば評価している,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",交通渋滞や路上駐車などの交通環境の悪化,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 体験施設",7,,40～49歳,女性,,とても好ましい,,7,,5,,
南越前町,あまりそうは思わない,駅も無いから,そうは思わない,サンダーバードやしらさぎなどの特急に乗れなくなり、アクセスが悪くなる,ややそう思う,宣伝しているから,ややそう思う,,ややそう思う,,どちらともいえない,,,,3,交通の便がいまいち,,,観光客の消費によって飲食業や宿泊業が潤う,特に心配はない,観光スポットを結ぶ交通機関,7,,50～59歳,女性,,どちらかと言えば好ましい,,7,,3,,
越前市,あまりそうは思わない,道の駅周辺に魅力的なショッピングセンター等がない,ややそう思う,東京へ乗り継ぎ無しで短時間で行けるのは嬉しいです。,ややそう思う,田舎ならではの魅力があるから　都会の方々には新鮮だと思う,そう思う,色々な食や文化等を通して福井県の名を覚えていただきたい,ややそう思う,海の幸山の幸が多いから　,どちらかと言えば評価していない,,,PRに消極的だと思う,4,何も特別に有名なものがない,,地域が活性化すると思う,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 移住・定住のきっかけとなる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 観光イベント, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 駐車場",6,平和な町だとは思うが、便利性や活気に欠けてると思う,50～59歳,女性,,好ましい,,6,交通機関において不安がある,3,,
越前市,ややそう思う,観光客が増えると思われるから,あまりそうは思わない,サラリーマンだから,ややそう思う,今までよりは観光客が増えると思われるから,ややそう思う,地域が潤うから,あまりそうは思わない,魅力に欠けるから,どちらかといえば評価している,,,発信力が増えているから,3,魅力を感じないから,,地域が潤うから,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく","交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, 宿泊施設、土産物屋, 駐車場",5,どちらとも言えない,60～69歳,男性,,どちらかと言えば好ましい,,5,変わらないと思う,3,,
越前町,あまりそうは思わない,交通手段が少ない,全くそうは思わない,観光に関係ない仕事だから,ややそう思う,福井の存在感が少しは上がると思うから,そう思う,ゴミが増えたりするのが心配,あまりそうは思わない,便利さがないから,どちらともいえない,,,いつも同じところばかりだから。,5,自慢したいが交通手段が悪い　働き口が少ない。年寄りが多い,,305号線が混む,特に効果は期待できない,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",観光スポットを結ぶ交通機関,8,食べ物が美味しい　自然豊か,50～59歳,女性,,どちらともいえない,関西や、中京方面からの観光客ではないと思うから,8,変わらない,3,,
坂井市,そうは思わない,関西にダイレクト1本でいけなくなるため,そうは思わない,電車代が高くなるため,あまりそうは思わない,,とてもそう思う,福井をもっと有名にしたい,とてもそう思う,,どちらかといえば評価している,,,,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",特に心配はない,観光スポットを結ぶ交通機関,5,,50～59歳,女性,,とても好ましい,,5,,3,,
越前町,そうは思わない,交通手段が無い,全くそうは思わない,関西や中京に行くのが不便になる,あまりそうは思わない,観光地に行く交通が充実してない,そう思う,福井の良い所を見て欲しい,そう思う,経済の活性化に繋がる,評価している,,,色々なイベントを開催してPRしている,2,過疎化が進んで金融機関等がなくなっている。生活用品を購入できるお店がない。,,福井の経済が潤う,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる","騒音やごみの増加, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 宿泊施設、土産物屋",5,,50～59歳,男性,,とても好ましい,,3,交通機関が充実していない為、車の運転ができない場合、生活に不安を感じる,1,,
福井市,ややそう思う,東京、東北には良いが、関西、名古屋には行きにくい,ややそう思う,息子が東京なので、1本で行ける,ややそう思う,関東、東北方面の人が来やすい,とてもそう思う,福井が好きだから,とてもそう思う,まだまだ認知度が低いから。,どちらともいえない,,,いろんな観光地を巡っているが、福井は移動に不便。,2,,,活気が溢れてほしい,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 歴史文化資源の保存活用につながる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 自然破壊","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場, 体験施設",5,,50～59歳,女性,,とても好ましい,,5,,3,,
福井市,ややそう思う,観光地へ行く拠点となる,ややそう思う,関東方面への出かけることが多少の増える,そう思う,金沢までしか知らなかった人が、福井県を知る機会になる,そう思う,嶺北嶺南とも他県にはないものがある年縞博物館三方五湖、奧越、一乗谷遺跡、東尋坊など離れているので、ゆっくり訪れて堪能してほしい。,とてもそう思う,さっきの回答通り,どちらかといえば評価している,,,アクセスが大変。レンタカー、ジャンボタクシーなど利用出来ると良い。,4,いつも東北と思われていたが、ようやく位置や観光名所、食材の豊富さなどを知ってもらう機会になる。,,福井県民が外向きになって、他県の人を知る機会が増える,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 歴史文化資源の保存活用につながる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 体験施設",7,福井駅まで行くのが不便 ,60～69歳,女性,,好ましい,,7,新幹線効果次第,5,,
大野市,全くそうは思わない,越美北線が不便になるばかり,そうは思わない,,そうは思わない,,そう思う,,あまりそうは思わない,,どちらともいえない,,,,1,,,,特に効果は期待できない,特に心配はない,観光スポットを結ぶ交通機関,3,,50～59歳,女性,,どちらともいえない,,3,,1,,
坂井市,とてもそう思う,"新幹線敦賀延伸開業キャンペーンにより、
多くの情報が全国に発信されることで
福井県に行ってみたいと思う人が急増すると思います。",とてもそう思う,全国、そして海外からお客さまが来てくれることにより、視覚で刺激を受け、そして交流することにより多くの情報や文化を感じることができると思います。,とてもそう思う,多くの方が来てくれることにより2次交通が整備され、より暮らしやすかなると思います。,とてもそう思う,"福井県を好きになって欲しい❤️
そして何度も訪れて欲しいです。",とてもそう思う,観光客の方が行きたい、過ごしやすい町は、私たちも住みやすい町になると思います。、,評価している,,,まだまだ素晴らしい魅力を発信していきましょう。,5,"まだまだ未整備な場所が多いので、
上品で歴史を踏まえたまちづくりをして欲しい。",,観光客が来ることで、さらなる磨き上げができると思う。,"波及効果により他の地場産業が活気づく, 歴史文化資源の保存活用につながる",騒音やごみの増加,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 体験施設",8,海も山もあり、スピリチュアルな感性を大切にしながら暮らせるところが好きです。,60～69歳,女性,京都ほどにはならないと思いますが、多少の騒音はあると思う。,とても好ましい,観光客の増加による経済効果により整備がさせることを願っています。,8,車がないと暮らせないところは課題解決が必要です。,3,,
福井市,そう思う,関西からは不便になるが、関東からはアクセス向上で交流が増える。,ややそう思う,関東方面への旅行が便利になる。,そう思う,問２と同じ,とてもそう思う,,そう思う,,評価している,,,,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 移住・定住のきっかけとなる",騒音やごみの増加,観光スポットを結ぶ交通機関,8,公共交通機関が脆弱,60～69歳,男性,,好ましい,,8,変わらない,3,,
福井市,ややそう思う,越前がに・蕎麦、若狭ふぐ・魚(海鮮)の知名度ありますが、各駅のグルメや観光度がわからないので競い合いアピールした方がいいかと思う。また地元の方々の声を聞いて美味しい店、ここがいい店などがあればもっと活躍の場を設けてアピールするといいかなぁと思う。地元愛❤️が強く感じる情報を配信して福井県の良さが伝わって行くと思います。,あまりそうは思わない,自身では自営業でもないので感じないですね。人が増える事には嬉しいです,ややそう思う,魅力的な宿泊施設や体験型観光が増えるといいと思う,そう思う,是非お越し頂いて福井に行って良かったと喜び思い出を語ってくれるといいですね,そう思う,"福井県ならではの和紙や恐竜展などお子様の目線、中高齢者の目線、女性目線、若者目線を考え楽しんで頂ける県であって欲しい　
",どちらかといえば評価している,,,福井駅の恐竜はいいですねー,2,県外になく福井にあることなら勧められる,,観光客が増えれば土産品もグルメ開発もされて良いと思う,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる","騒音やごみの増加, 自然破壊","観光スポットを結ぶ交通機関, 障害者や高齢者への配慮（バリアフリー）, 宿泊施設、土産物屋, 駐車場, 体験施設",7,道の駅が増え嬉しいですね,50～59歳,女性,,どちらかと言えば好ましい,,8,私自身は定年時期なので癒しの場が増えると嬉しいなあー,3,,
大野市,そうは思わない,奥越でも勝山はスキージャムや恐竜博物館、平泉寺があるけど、大野は誇る物や場所がない。,そう思う,旅行が好きだから,そう思う,人が来ればお金を使ってくれるから。,そう思う,県外車が走っているのを見るだけでも嬉しいから。,そう思う,観光や旅行の目的地という事は少なからず福井県に興味があるという事だから。,どちらともいえない,,,"本当にアピールが下手
観光に来る年齢層を考えて取り組みを考えた方がいい",4,大野市に限って言えば、中途半端な田舎で何もないから。「何もない、だがそれがいい。」くらいの境地の人にしか紹介できない。,,活気付くのは良い事,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 移住・定住のきっかけとなる","騒音やごみの増加, 歴史文化資源の破壊, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 体験施設",7,イオンとか有名なお店はないけど、大きな災害もなく、日々穏やかに過ごせている。,30～39歳,女性,マナーを守れない人は少なからずいると思う。外国人客が増えるような事があると上記の不安が出てくるかな。,好ましい,人口が減ってるので、観光客に頼れる所は頼って潤いと活気が生まれるのは良い,7,福井県でも有名な観光客がある所や駅周辺は変化があるだろうけど、私の住む場所は特に大きな変化はないと思うので同じ点数。,2,,
越前市,とてもそう思う,,ややそう思う,,とてもそう思う,,そう思う,,そう思う,,評価している,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる",交通渋滞や路上駐車などの交通環境の悪化,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 観光マップやパンフレット, 飲食施設",9,,50～59歳,女性,,好ましい,,9,,4,,
福井市,あまりそうは思わない,観光客は増えそうですが、若者が都会へ出ていってしまうと思います,そうは思わない,大阪方面は敦賀乗り継ぎが生じる。東京方面は電車代が高くなる。,ややそう思う,,とてもそう思う,,とてもそう思う,,どちらかといえば評価している,,,まだまだオリジナリティが足りないと思う。,5,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 観光客との交流が生まれる",自然破壊,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 飲食施設",7,愛着はあるが、満足という点は少なく感じる。,40～49歳,男性,観光客によってではなく、観光のために自然破壊が生じています。,好ましい,,7,交通ルールが悪くて、幼児を連れて歩いていても、運転していても危険を感じる。除雪が不十分。,4,,
福井市,あまりそうは思わない,居住地が田舎だからぁ！,あまりそうは思わない,問2に同じ！,ややそう思う,県外からの流入が多く成るから！,そう思う,県民性から！,そう思う,問5に同じ！,どちらかといえば評価している,,,県観光課の動きがうががえる！,1,,,県内が潤うし賑やかになり活気がでる！,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 観光客との交流が生まれる, 移住・定住のきっかけとなる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 観光案内所、観光ガイド, 体験施設",5,,70歳以上,男性,,とても好ましい,,5,,1,,
勝山市,ややそう思う,恐竜博物館への来館者が多少増えるぐらいだと思う。,全くそうは思わない,"関西方面に出掛ける事が多いため、敦賀乗り換えは不便。
また、時間はほぼ変わらないのに運賃が高くなる。",ややそう思う,来県者が増えると思うので。,そう思う,,そう思う,,どちらともいえない,,,どの様な取り組みを行っているか知らない。,3,,,福井県をアピール出来る。,地域の知名度が上がる,交通渋滞や路上駐車などの交通環境の悪化,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 宿泊施設、土産物屋",5,,50～59歳,男性,,好ましい,,5,,3,,
福井市,あまりそうは思わない,大阪、福井間の移動が面倒になるため,そうは思わない,新幹線での移動が少ないため,全くそうは思わない,県外旅行客が福井県でお金を使ってくれることで、経済の発展につながる,そう思う,マナーのある観光客大切にしたい,そう思う,福井の魅力を県外にも広めたい,どちらともいえない,,,観光振興の取組が周りでそれほど認知されていないと思う。,1,観光名所が少ない。洋服等のショップが少なすぎる。,,経済の循環につながるため,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光案内所、観光ガイド, その他",1,"天候が悪い。
買い物ができる場所が少ない。
車の運転マナーが悪い。",40～49歳,男性,旅行者の中にはマナーが悪い人もたくさんいると思う。,とても好ましい,県外観光客が地元でお金を使うことで、事業者の業績が好転する。,1,５年後と今で、大きく変わっていることがあると感じられないため。,2,,
福井市,そう思う,,とてもそう思う,乗り換えなしで東京に行けるから,とてもそう思う,,そう思う,,とてもそう思う,,とても評価している,,,私には出来ない事なので尊敬します,2,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 移住・定住のきっかけとなる",騒音やごみの増加,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 観光マップやパンフレット",8,,50～59歳,女性,,とても好ましい,,8,,2,,
越前市,ややそう思う,無いよりはあった方が良い事がある,ややそう思う,地域の活性化,あまりそうは思わない,中京、関西圏のアクセスが悪くなるため,そう思う,福井が好きだから,そうは思わない,観光県よりは、勤労県であるため,評価していない,,,頑張ってはいるが、保守的過ぎる,3,保守的過ぎる,,税収アップ,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化, 日常生活に影響が出るほどの不安","観光スポットを結ぶ交通機関, 観光イベント, 飲食施設, 宿泊施設、土産物屋",8,今の生活、人生が楽しいため,50～59歳,男性,,とても好ましい,,9,今の生活とそれ程変わらないと思うため,2,,
坂井市,そう思う,観光で来る方が増える,そう思う,長野や東京へ行きやすくなる,そう思う,福井が観光地として人気がアップする,そう思う,福井の良さが広まる,そう思う,今まで、良さが知られていなかった,どちらかといえば評価している,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる",特に心配はない,"観光スポットを結ぶ交通機関, 観光イベント",8,,60～69歳,男性,,好ましい,,8,,5,,
美浜町,ややそう思う,沿線ではないが敦賀に近いので宣伝次第でプラスになると思う,ややそう思う,普段JRを利用することはないが、今後移動するときの選択肢が増える。,ややそう思う,自身には関係ないが、観光業や客商売の人には景気が良くなると思う。普段出かけている所や道路が混雑するのは困るので微妙。,ややそう思う,活気が出るのは良いと思う,ややそう思う,福井県の場所を知らない人や、知っていても原発によるマイナスイメージを持つ人が多いので良いイメージにつながるといいと思う,どちらかといえば評価している,,,,2,,,活気付くのは良いが道路が混雑したり、治安が悪くなったりするのは困る,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 駐車場",5,満足不満点ひっくるめて自分の生まれ育った場所だから,60～69歳,女性,,どちらともいえない,,5,,2,,
鯖江市,あまりそうは思わない,通過地点で特急も停まらなくなるから,あまりそうは思わない,余り関係がない,そう思う,"観光客が増えると思う
",とてもそう思う,そうなって欲しいから,とてもそう思う,福井県の良い所を知って欲しいから,評価している,,,新聞で様々な取り組みをみているから,4,良いところが一杯ある,,福井県は知名度が低いので新幹線が通ることで賑わって欲しい,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる",特に心配はない,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 観光案内所、観光ガイド",8,雪が多くなければ最高です❗️,60～69歳,女性,,好ましい,,8,,5,,
鯖江市,あまりそうは思わない,鯖江はサンダバ-ドが無くなり不便になるから,あまりそうは思わない,西日本エリアに行くのが不便になるから,ややそう思う,関東からの集客が見込める,そう思う,知名度が低い県だけど、美味しい物がたくさんあるから食べていただきたい,そう思う,経済効果があるため,どちらともいえない,,,メガネ産業や漆器とか良いものを作っていると思うがPR不足だと思う,3,しみ,,経済効果を期待したい,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく","騒音やごみの増加, 治安の悪化","観光スポットを結ぶ交通機関, 観光案内所、観光ガイド",9,自然豊かで子育て支援も充実している,60～69歳,女性,,好ましい,,9,孫にとってよい環境で楽しい暮らしてる,4,,
鯖江市,あまりそうは思わない,新幹線が止まらないから,あまりそうは思わない,関西方面への移動が不便になるから,そう思う,関東方面からの客が増えそうだから,そう思う,県が少しでも潤うと良いと思う,そう思う,県外の客が沢山来やすくなって県民も潤えたら良いと思う,評価している,,,,3,,,県内が賑やかになることは良いことだと思う,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 移住・定住のきっかけとなる",特に心配はない,"観光スポットを結ぶ交通機関, 観光マップやパンフレット, 宿泊施設、土産物屋",8,,60～69歳,男性,,好ましい,,8,,3,,
大野市,そう思う,,ややそう思う,,ややそう思う,,ややそう思う,,ややそう思う,,どちらともいえない,,,,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 飲食施設, 宿泊施設、土産物屋",5,,40～49歳,女性,,どちらかと言えば好ましい,,5,,3,,
越前市,ややそう思う,東京から乗り換えなしという点がメリットあるかと思います,全くそうは思わない,関西中京地区への乗り換えが面倒,そう思う,来福される人数が増えることは経済的影響が大きいと思います。,とてもそう思う,自身も他県へ出向いた時に歓迎されたいから,あまりそうは思わない,リスク分散という意味で観光客のみに絞ると危険。全体的に人が集まるコンテンツが必要だと思う。,評価していない,,,後手後手。先を見通す力が弱いと思います。,5,山も海も自動車で30分で行けます。水も食材も質が高い。高いポテンシャルを活かしきれていない。,,人が多く集まると経済的効果が高くなると思います。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 歴史文化資源の保存活用につながる",騒音やごみの増加,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 飲食施設, その他",10,衣食住教育など日常生活のレベルが他県より高いと思います。,50～59歳,女性,,好ましい,,8,,5,,
越前市,あまりそうは思わない,越前市は通過しかしない、関西中京へ行くのに不便,あまりそうは思わない,行くのは関西中京それが乗り換え等不便,そう思う,訪問者がお金落としてくれる,ややそう思う,観光が活発ならいい,そう思う,知名度上がって欲しい,評価していない,,,アピールが下手、やることがずれている気がする,2,おすすめするものが少ない,,経済活性化,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる",特に心配はない,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド",4,静かで落ち着いていられる,50～59歳,男性,,どちらかと言えば好ましい,,5,変わらないだろう,2,,
越前市,ややそう思う,道の駅が出来た,あまりそうは思わない,特に影響はないから,あまりそうは思わない,,そう思う,,そう思う,,どちらかといえば評価している,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる","交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 宿泊施設、土産物屋, 駐車場",4,,50～59歳,女性,,好ましい,,5,,3,,
福井市,ややそう思う,観光客が増えて、町が潤う,あまりそうは思わない,サンダーバードが福井まで来なくなる。,ややそう思う,観光客がお金を使ってくれる。,ややそう思う,マナーが悪い人は増えるのは嫌だなと思う。,そう思う,,評価している,,,,2,自然豊かな環境,,,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 観光客との交流が生まれる, 移住・定住のきっかけとなる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 自然破壊, 治安の悪化",障害者や高齢者への配慮（バリアフリー）,7,,40～49歳,女性,,好ましい,,7,,4,,
